id;name;email
Ere4;Eren Yeager;eren.yeager@gmail.com
Mik2;Mikasa Ackerman;mikasa.ackerman@yahoo.com
Arm1;Armin Arlert;armin.arlert@outlook.com
Lev6;Levi Ackerman;levi.ackerman@gmail.com
Erw17;Erwin Smith;erwin.smith@yahoo.com
Han1;Hange Zoë;hange.zoe@outlook.com
Jea15;Jean Kirstein;jean.kirstein@gmail.com
Con4;Connie Springer;connie.springer@yahoo.com
Sas1;Sasha Blouse;sasha.blouse@outlook.com
His1;Historia Reiss;historia.reiss@gmail.com
Ymir;Ymir;ymir@yahoo.com
Rein;Reiner Braun;reiner.braun@outlook.com
Bert;Bertolt Hoover;bertolt.hoover@gmail.com
Zeke;Zeke Yeager;zeke.yeager@yahoo.com
Anni;Annie Leonhart;annie.leonhart@outlook.com
